chm_z_layers,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,94,exp4_d06e3f844b134e108b4966a6dfa3dffb,"RGB, CIR and CHM",0.15341472128375627
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,94,exp4_d06e3f844b134e108b4966a6dfa3dffb,RGB and CIR,0.14581398275446947
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,94,exp4_d06e3f844b134e108b4966a6dfa3dffb,CHM only,0.034627128645251685
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,71,exp0_bf07f79194c9407faf1bc075a05e555c,"RGB, CIR and CHM",0.25460415394531594
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,71,exp0_bf07f79194c9407faf1bc075a05e555c,RGB and CIR,0.059981989999251674
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,71,exp0_bf07f79194c9407faf1bc075a05e555c,CHM only,0.030022212858152895
"[[-inf, inf]]",exp2,61,exp2_67ad692b665048b293bbede70509dfe2,"RGB, CIR and CHM",0.2217261673199454
"[[-inf, inf]]",exp2,61,exp2_67ad692b665048b293bbede70509dfe2,RGB and CIR,0.02527153107124822
"[[-inf, inf]]",exp2,61,exp2_67ad692b665048b293bbede70509dfe2,CHM only,0.03575289246410114
"[[-inf, inf]]",exp3,71,exp3_68042fa07a7c41a59bd89228306fb5da,"RGB, CIR and CHM",0.24043957428198356
"[[-inf, inf]]",exp3,71,exp3_68042fa07a7c41a59bd89228306fb5da,RGB and CIR,0.01118056584890479
"[[-inf, inf]]",exp3,71,exp3_68042fa07a7c41a59bd89228306fb5da,CHM only,0.023961510066545365
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp4,64,exp4_2cdeed433fe9471f823efcc378ce38f7,"RGB, CIR and CHM",0.24652740545600849
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp4,64,exp4_2cdeed433fe9471f823efcc378ce38f7,RGB and CIR,0.130435755562611
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp4,64,exp4_2cdeed433fe9471f823efcc378ce38f7,CHM only,0.10264588170082858
