accumulate,lr,proba_drop_chm,proba_drop_rgb,best_epoch,model_name,Data used for evaluation,Best sortedAP
24,0.001,0,0,328,exp0_82d2c744c946451aa14dcd0f647a0bf1,"RGB, CIR and CHM",0.122301268
24,0.001,0,0,328,exp0_82d2c744c946451aa14dcd0f647a0bf1,RGB and CIR,0.021080394
24,0.001,0,0,328,exp0_82d2c744c946451aa14dcd0f647a0bf1,CHM only,0.055351006
36,0.001,0,0,544,exp0_ff91f6ceb41f419aa5f15275d14ee453,"RGB, CIR and CHM",0.143108846
36,0.001,0,0,544,exp0_ff91f6ceb41f419aa5f15275d14ee453,RGB and CIR,0.027947725
36,0.001,0,0,544,exp0_ff91f6ceb41f419aa5f15275d14ee453,CHM only,0.079670083
24,0.006,0.333,0.333,160,exp0_c6c5832869224cee9e271b373020220d,"RGB, CIR and CHM",0.257332656
24,0.006,0.333,0.333,160,exp0_c6c5832869224cee9e271b373020220d,RGB and CIR,0.235640523
24,0.006,0.333,0.333,160,exp0_c6c5832869224cee9e271b373020220d,CHM only,0.172848015
24,0.006,0.1,0.1,128,exp0_14c4cbf8732f4ca89371a2350c4a7f97,"RGB, CIR and CHM",0.152210428
24,0.006,0.1,0.1,128,exp0_14c4cbf8732f4ca89371a2350c4a7f97,RGB and CIR,0.225268629
24,0.006,0.1,0.1,128,exp0_14c4cbf8732f4ca89371a2350c4a7f97,CHM only,0.076760513
12,0.001,0.333,0.333,391,exp0_1281dbfdf374425b9eee9a0b243dc79d,"RGB, CIR and CHM",0.124140608
12,0.001,0.333,0.333,391,exp0_1281dbfdf374425b9eee9a0b243dc79d,RGB and CIR,0.14780623
12,0.001,0.333,0.333,391,exp0_1281dbfdf374425b9eee9a0b243dc79d,CHM only,0.119677673
36,0.006,0,0,238,exp0_8011d2223c704e92b4dca147d3f8f9cd,"RGB, CIR and CHM",0.244151445
36,0.006,0,0,238,exp0_8011d2223c704e92b4dca147d3f8f9cd,RGB and CIR,0.039189663
36,0.006,0,0,238,exp0_8011d2223c704e92b4dca147d3f8f9cd,CHM only,0.171552241
36,0.006,0.333,0.333,242,exp0_2d4160a02fae4fff8576db163481aa76,"RGB, CIR and CHM",0.155008732
36,0.006,0.333,0.333,242,exp0_2d4160a02fae4fff8576db163481aa76,RGB and CIR,0.208725532
36,0.006,0.333,0.333,242,exp0_2d4160a02fae4fff8576db163481aa76,CHM only,0.094626646
24,0.0025,0.1,0.1,180,exp0_736436a0bd094c91960f13bc59306fd5,"RGB, CIR and CHM",0.198671321
24,0.0025,0.1,0.1,180,exp0_736436a0bd094c91960f13bc59306fd5,RGB and CIR,0.201814353
24,0.0025,0.1,0.1,180,exp0_736436a0bd094c91960f13bc59306fd5,CHM only,0.140293302
12,0.0025,0.333,0.333,85,exp0_315210208dd04d33bd34b7c6d93b1db5,"RGB, CIR and CHM",0.255517563
