accumulate,lr,prefix,proba_drop_chm,proba_drop_rgb,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP
24,0.001,exp0,0.0,0.0,exp0,328,exp0_82d2c744c946451aa14dcd0f647a0bf1,"RGB, CIR and CHM",0.12230126802282791
24,0.001,exp0,0.0,0.0,exp0,328,exp0_82d2c744c946451aa14dcd0f647a0bf1,RGB and CIR,0.021080394315533265
24,0.001,exp0,0.0,0.0,exp0,328,exp0_82d2c744c946451aa14dcd0f647a0bf1,CHM only,0.05535100605511741
36,0.001,exp0,0.0,0.0,exp0,544,exp0_ff91f6ceb41f419aa5f15275d14ee453,"RGB, CIR and CHM",0.14310884589547213
36,0.001,exp0,0.0,0.0,exp0,544,exp0_ff91f6ceb41f419aa5f15275d14ee453,RGB and CIR,0.027947724818739663
36,0.001,exp0,0.0,0.0,exp0,544,exp0_ff91f6ceb41f419aa5f15275d14ee453,CHM only,0.07967008299202263
24,0.006,exp0,0.333,0.333,exp0,160,exp0_c6c5832869224cee9e271b373020220d,"RGB, CIR and CHM",0.2573326564479833
24,0.006,exp0,0.333,0.333,exp0,160,exp0_c6c5832869224cee9e271b373020220d,RGB and CIR,0.2356405227295129
24,0.006,exp0,0.333,0.333,exp0,160,exp0_c6c5832869224cee9e271b373020220d,CHM only,0.17284801467788194
24,0.006,exp0,0.1,0.1,exp0,128,exp0_14c4cbf8732f4ca89371a2350c4a7f97,"RGB, CIR and CHM",0.15221042832536713
24,0.006,exp0,0.1,0.1,exp0,128,exp0_14c4cbf8732f4ca89371a2350c4a7f97,RGB and CIR,0.22526862943335577
24,0.006,exp0,0.1,0.1,exp0,128,exp0_14c4cbf8732f4ca89371a2350c4a7f97,CHM only,0.07676051294057638
12,0.001,exp0,0.333,0.333,exp0,391,exp0_1281dbfdf374425b9eee9a0b243dc79d,"RGB, CIR and CHM",0.12414060836262733
12,0.001,exp0,0.333,0.333,exp0,391,exp0_1281dbfdf374425b9eee9a0b243dc79d,RGB and CIR,0.147806229715214
12,0.001,exp0,0.333,0.333,exp0,391,exp0_1281dbfdf374425b9eee9a0b243dc79d,CHM only,0.11967767267258056
36,0.006,exp0,0.0,0.0,exp0,238,exp0_8011d2223c704e92b4dca147d3f8f9cd,"RGB, CIR and CHM",0.24415144518439325
36,0.006,exp0,0.0,0.0,exp0,238,exp0_8011d2223c704e92b4dca147d3f8f9cd,RGB and CIR,0.03918966315605155
36,0.006,exp0,0.0,0.0,exp0,238,exp0_8011d2223c704e92b4dca147d3f8f9cd,CHM only,0.17155224138199723
36,0.006,exp0,0.333,0.333,exp0,242,exp0_2d4160a02fae4fff8576db163481aa76,"RGB, CIR and CHM",0.15500873203413293
36,0.006,exp0,0.333,0.333,exp0,242,exp0_2d4160a02fae4fff8576db163481aa76,RGB and CIR,0.20872553177818584
36,0.006,exp0,0.333,0.333,exp0,242,exp0_2d4160a02fae4fff8576db163481aa76,CHM only,0.09462664612951059
24,0.0025,exp0,0.1,0.1,exp0,180,exp0_736436a0bd094c91960f13bc59306fd5,"RGB, CIR and CHM",0.19867132108503938
